79, 6215
2804, 6396
6297, 4557
9367, 4624
9182, 9419
4623, 5504
85, 2385
7726, 2349
7713, 6983
871, 4243
9932, 5384
3110, 1622
6643, 681
9994, 7113
5193, 6529
9259, 2070
2198, 9187
5724, 6921
4714, 7505
6817, 9041
363, 9107
785, 8329
8356, 9998
1619, 6706
7248, 6136
3480, 1086
9582, 8053
2494, 2881
8503, 9053
4094, 7847
3329, 2494
8008, 6785
5075, 7426
3166, 8809
6352, 3850
6933, 3575
7781, 7724
3865, 7741
620, 5450
7691, 9636
4649, 7975
2711, 5337
8383, 769
4807, 45
3987, 8146
4869, 3888
2643, 6642
7169, 1612
1378, 8447
4169, 8134
5930, 1794
5616, 1098
3290, 7558
2423, 118
8775, 4943
9490, 3001
4059, 6015
5728, 9603
6753, 4020
3937, 8657
2060, 9585
9248, 3242
8435, 5466
1810, 8688
6254, 8736
5103, 1452
5746, 2712
3477, 2949
3940, 4625
5560, 9746
4655, 1602
7836, 1307
8925, 1000
2186, 3406
6510, 6137
156, 2926
8759, 9803
9839, 4017
9974, 1834
3659, 5936
3401, 6332
2552, 8099
8386, 9522
277, 2691
1971, 2242
7680, 7662
7896, 4729
8019, 9226
2990, 9204
6146, 4001
261, 4648
5461, 8804
5229, 9433
4746, 3086
6927, 8533
7994, 5366
7740, 5496
5573, 9986
8963, 3233
8735, 8915
2002, 2027
1106, 5978
1435, 5941
6099, 9128
6515, 4768
1374, 4009
9580, 1710
4428, 4066
8439, 6219
5557, 217
4760, 3919
8574, 1673
8829, 3044
7355, 1278
1916, 7689
3279, 9755
2643, 619
1318, 602
2389, 5020
685, 1807
3206, 1771
1293, 7318
6243, 6510
3567, 7908
5768, 867
7868, 3330
7296, 8280
5854, 2580
7231, 4168
9521, 4491
2289, 7370
7229, 2776
9399, 2824
9605, 138
6381, 4005
5495, 3162
6029, 9242
7427, 6996
4340, 9553
9143, 7096
2421, 9958
1798, 278
6716, 3045
2908, 6503
2886, 7285
3452, 1164
6022, 8784
3079, 3176
5798, 514
6573, 1963
3988, 7031
8953, 9228
702, 7528
4335, 8650
5454, 9513
1845, 9328
6242, 7985
190, 452
8815, 3137
9284, 3931
8619, 2110
2352, 5803
9436, 7653
8760, 8470
9741, 1768
1372, 8862
1072, 7352
4606, 3017
7613, 8063
7263, 3499
3869, 3908
5093, 6896
7684, 6827
7724, 7615
2737, 280
3168, 1937
8908, 6023
907, 2511
5656, 6292
147, 4798
3085, 2131
9071, 8916
1916, 9432
6085, 9235
3985, 5619
5363, 9047
585, 3584
4548, 3111
369, 4448
8474, 9596
1293, 1623
975, 7813
7193, 8209
7714, 43
3070, 7861
4941, 989
2076, 4860
3613, 5761
5281, 3468
8236, 997
3904, 9632
1524, 717
3569, 5540
7342, 4234
2242, 5541
7853, 1167
4804, 8507
191, 7175
668, 180
6034, 4728
2505, 422
3424, 8842
8407, 1358
4962, 9081
5794, 1346
7699, 2380
9286, 6565
1991, 15
9390, 9341
8867, 8468
811, 1620
5996, 8473
6606, 2035
3824, 9507
9932, 1377
7691, 5757
3892, 4371
203, 1655
5134, 2581
4178, 1370
6898, 1930
1921, 2992
9538, 3806
1794, 2962
5090, 1936
2483, 6460
8225, 3437
3456, 89
7980, 8591
8636, 836
6368, 9282
5644, 1291
3859, 7513
7114, 4926
8918, 5402
2097, 4102
6686, 7208
7988, 7567
4733, 8330
1079, 1974
8407, 2449
3562, 156
9866, 1298
5009, 4139
4331, 6382
341, 5470
5736, 6412
8480, 7926
882, 6463
2488, 3773
7691, 5411
6802, 5211
2037, 6720
5977, 6172
5805, 8080
5211, 6195
7800, 2854
9872, 5790
9715, 8555
9474, 6983
3955, 3290
1901, 6955
7720, 6115
392, 3230
9058, 4815
2974, 6209
1196, 4208
